timestamp_s,step_index,imu_lin_acc_x,imu_lin_acc_y,imu_lin_acc_z,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,vibration_magnitude,lift_joint_position,lift_force_z,pseudo_pressure_pa,drive_joint_velocity,drive_joint_effort,lift_joint_velocity,roller_fl_velocity,roller_fr_velocity,roller_bl_velocity,roller_br_velocity,power_dissipated_w,temperature_c,fault_label
0.35,21,-9.77225,0.154627,0.856744,-0.00071,-0.000163,-0.000812,9.810918,-0.063332,-645.509859,-7957.4073,0.018128,2564.24291,0.063446,-0.005486,0.010921,-0.006856,0.000598,87.207132,25.393,nominal
0.366667,22,-9.774698,-0.131559,0.858288,0.000753,-1.1e-05,-0.000156,9.813137,-0.063046,-760.093895,-9573.3512,0.00914,3346.89657,0.077343,0.013979,-0.001214,0.015253,0.005903,89.788863,25.4598,nominal
0.383333,23,-9.772869,-0.008648,0.857724,0.000861,-3.5e-05,-0.000234,9.810419,-0.06263,-895.989473,-11359.4044,0.009482,2757.919595,0.09002,0.015987,-0.00191,0.01821,0.009734,108.085245,25.5475,nominal
0.4,24,-9.771154,0.128214,0.856124,-0.000872,-0.000108,-0.000448,9.809422,-0.061982,-1043.874833,-13044.1852,0.020066,2609.384591,0.103385,-0.006716,0.012264,-0.007724,0.00718,160.270709,25.6744,nominal
0.416667,25,-9.774693,-0.061337,0.857226,-0.000314,2e-05,-9.1e-05,9.812377,-0.061234,-1175.955307,-14643.7511,0.018921,3268.20207,0.115944,0.00647,0.008863,0.006818,0.014619,198.779807,25.8355,nominal
0.433333,26,-9.770562,0.032374,0.856966,-0.000629,-0.000106,-0.00036,9.808102,-0.060243,-1308.466899,-16365.8596,0.009568,3132.400062,0.130545,0.000683,0.014096,-0.00054,0.007071,201.200441,25.9987,nominal
0.45,27,-9.753552,0.153987,0.858643,-0.000846,-0.001228,-0.003961,9.792409,-0.059112,-1447.533785,-18236.185,0.028105,2757.45005,0.145581,0.00423,0.020552,0.001796,0.001142,287.228789,26.2317,nominal
0.466667,28,-9.790138,-0.137235,0.854098,-0.000272,-0.000175,-0.000734,9.82833,-0.057744,-1586.480697,-19791.6501,0.018464,3547.20153,0.157818,0.005014,0.021885,0.005152,0.007698,316.092073,26.4818,nominal
0.483333,29,,,,,,,,-0.056294,-1649.370355,-20617.4569,0.014013,3238.360181,0.166264,0.019988,0.027624,0.018646,0.016935,319.363895,26.7364,nominal
0.5,30,-9.771742,0.027646,0.857027,-0.000291,2.3e-05,1.8e-05,9.809311,-0.054734,-1654.041921,-20931.4837,0.011991,3000.678655,0.166303,0.014689,0.030784,0.015705,0.017893,313.462578,26.9741,nominal
0.516667,31,-9.772877,0.000761,0.856458,-9e-06,4.9e-05,8.3e-05,9.810284,-0.053312,-1636.889343,-20142.752,0.012717,2964.370669,0.163379,0.016241,0.027469,0.016765,0.017731,301.420586,27.2405,nominal
0.533333,32,-9.77212,0.00319,0.85674,-0.000163,3e-05,1.7e-05,9.809627,-0.051858,-1553.083395,-19593.0307,0.011495,2931.131936,0.155663,0.014922,0.027997,0.014555,0.017044,276.700585,27.4575,nominal
0.55,33,-9.772482,-0.002969,0.856348,-0.000142,2.6e-05,4.3e-05,9.809924,-0.050542,-1467.103172,-18344.3003,0.012524,2915.740517,0.14747,0.015013,0.028343,0.015211,0.017477,251.66565,27.64,nominal
0.566667,34,-9.772683,0.001273,0.856724,-0.000154,3.1e-05,1.9e-05,9.810192,-0.049398,-1371.119037,-17243.0851,0.011552,2894.213103,0.137166,0.01534,0.028128,0.015184,0.017345,218.942563,27.8193,nominal
0.583333,35,-9.772277,-0.003264,0.856435,-0.000149,1.9e-05,3.7e-05,9.809879,-0.048423,-1258.243862,-16033.5706,0.012436,2893.346973,0.126816,0.014883,0.028628,0.014948,0.017435,198.294451,27.9857,nominal
0.6,36,-9.772491,0.000816,0.856719,-0.000145,1.7e-05,5e-05,9.810033,-0.0476,-1167.463226,-14696.2258,0.011961,2901.63821,0.117765,0.015064,0.028174,0.015232,0.01739,172.464688,28.1157,nominal
0.616667,37,-9.77245,-0.009626,0.856504,2.2e-05,1.2e-05,2.3e-05,9.809886,-0.046987,-1085.238022,-13478.3919,0.010384,2917.384604,0.108487,0.016286,0.027464,0.016938,0.016489,149.415543,28.2349,nominal
0.633333,38,-9.772806,0.012189,0.856857,-0.000158,3.1e-05,2.4e-05,9.810341,-0.046364,-1011.628411,-12451.6057,0.011674,2909.349345,0.100253,0.01481,0.02858,0.014787,0.017557,135.745646,28.3557,nominal
0.65,39,-9.772354,-0.004928,0.856605,-0.000145,2.1e-05,4.4e-05,9.80981,-0.04617,-946.680654,-11818.663,,,0.094406,0.015245,0.028806,0.015231,0.017585,,,nominal
0.666667,40,-9.772542,6e-06,0.856724,-0.00014,1.7e-05,6.1e-05,9.810054,-0.045917,-886.197495,-11120.7327,0.011666,2948.364744,0.087401,0.015272,0.028926,0.015398,0.017795,111.710165,28.5459,nominal
0.683333,41,-9.772695,0.002055,0.856708,-0.000144,3.5e-05,1.4e-05,9.810228,-0.045644,-838.811545,-10499.756,0.011736,2949.837285,0.083367,0.01502,0.028785,0.015571,0.017639,104.953061,28.5931,nominal
0.7,42,-9.772617,-0.001254,0.856584,-0.000129,3.5e-05,8e-06,9.810092,-0.045519,-790.717688,-10004.3074,0.011956,2968.030463,0.079252,0.01558,0.028953,0.015872,0.017757,98.584365,28.6877,nominal
0.716667,43,-9.772394,-6.9e-05,0.856993,-0.000155,2.9e-05,1.9e-05,9.80985,-0.045494,-764.549875,-9482.19,0.011342,2978.128107,0.078335,0.015311,0.029627,0.015442,0.017963,93.216339,28.7426,nominal
0.733333,44,-9.772624,0.000225,0.856511,-0.000135,3.5e-05,1e-06,9.810251,-0.04547,-743.961085,-9272.1018,0.012344,2987.773042,0.075097,0.015479,0.029507,0.015476,0.017894,92.647213,28.8148,nominal
0.75,45,-9.772226,-0.002745,0.856788,-0.000148,1.7e-05,5.1e-05,9.809642,-0.045504,-721.832283,-9247.602,0.012657,3003.0732,0.074203,0.015758,0.029451,0.01573,0.018077,91.79347,28.8943,nominal
0.766667,46,-9.772787,0.003252,0.856773,-0.000139,3.4e-05,4e-06,9.810265,-0.045508,-710.068425,-8997.2185,0.012106,3000.723916,0.071701,0.01556,0.029761,0.015901,0.017836,89.081528,28.991,nominal
0.783333,47,-9.772594,0.00116,0.856796,-0.000145,4.7e-05,-2e-05,9.810254,-0.045569,-715.947413,-8961.7598,0.011677,3004.683026,0.072061,0.015745,0.029204,0.015997,0.017887,86.54474,29.0606,nominal
0.8,48,-9.772199,-0.011303,0.856796,8.4e-05,1.3e-05,-6e-06,9.809658,-0.045668,-709.3302,-9015.6988,0.010317,3019.075721,0.070592,0.017564,0.028218,0.017404,0.017225,81.94879,29.108,nominal
0.816667,49,-9.772229,0.007966,0.856937,-0.000161,6e-06,9.7e-05,9.809813,-0.045625,-716.321699,-8902.9461,0.012941,3016.614562,0.070873,0.015783,0.030323,0.016132,0.018341,90.432243,29.1749,nominal
0.833333,50,-9.773005,0.002672,0.856595,-3e-05,3.1e-05,0.000109,9.810465,-0.045651,-702.716798,-8917.3761,0.012568,3012.422085,0.070787,0.01661,0.028362,0.016846,0.018094,89.782741,29.2362,nominal
0.85,51,-9.772837,-0.000557,0.85661,-6.4e-05,5.2e-05,3.9e-05,9.810272,-0.045645,-710.392701,-8966.2245,0.012498,3010.894826,0.071237,0.015281,0.028234,0.016482,0.017785,89.065076,29.3025,nominal
0.866667,52,-9.77205,-0.004732,0.856871,-0.000134,2.2e-05,2.2e-05,9.809527,-0.045817,-721.327756,-9079.9569,0.012253,3024.202918,0.072127,0.016244,0.029773,0.015894,0.01849,87.898368,29.4068,nominal
0.883333,53,-9.772525,-0.000227,0.856753,-0.000148,2.5e-05,3.2e-05,9.810077,-0.045746,-723.478091,-8965.6628,0.012118,3018.631802,0.072924,0.015792,0.029944,0.015917,0.018198,87.534806,29.4697,nominal
0.9,54,-9.772489,0.000486,0.85664,-8.6e-05,2.4e-05,6e-05,9.809958,-0.045847,-735.764092,-9121.0054,0.012443,3020.829416,0.072169,0.016206,0.029256,0.016783,0.018256,91.481664,29.5564,nominal
0.916667,55,-9.772792,0.000447,0.856663,-1.7e-05,3.8e-05,0.000116,9.810344,-0.045909,-725.050462,-9018.0715,0.012785,3023.126367,0.071856,0.016362,0.028556,0.016987,0.018443,92.225411,29.5847,nominal
0.933333,56,-9.772861,0.002001,0.856735,-1.9e-05,5.3e-05,8.9e-05,9.810451,-0.045947,-732.896213,-9191.7231,0.012449,3017.027058,0.073712,0.016209,0.028843,0.016858,0.018259,89.772783,29.6988,nominal
0.95,57,,,,,,,,-0.045969,-732.679808,-9260.4472,0.011082,3013.798683,0.073705,0.015957,0.029909,0.015465,0.018208,88.342739,29.7167,nominal
0.966667,58,-9.772111,-0.001828,0.856446,-0.00013,2.3e-05,3.5e-05,9.809628,-0.045946,-727.148839,-9198.1496,0.013001,3023.607714,0.072717,0.016072,0.029681,0.015973,0.018189,93.078017,29.8055,nominal
0.983333,59,-9.775264,-0.021903,0.821308,4e-06,-2e-06,2e-05,9.809772,-0.046039,-737.292072,-9314.497,0.010315,3026.97228,0.073459,0.017458,0.028992,0.017799,0.017504,85.581613,29.8797,nominal
1.0,60,-9.772508,0.000649,0.856692,0.0,1e-06,-8e-06,9.810083,-0.046001,-737.631766,-9168.5201,0.010392,3027.28503,0.07396,0.017549,0.02901,0.017782,0.017609,84.966666,29.9424,nominal
1.016667,61,-9.772487,0.000514,0.856687,5e-06,-1e-06,-1e-05,9.810045,-0.046031,-736.78346,-9280.1558,0.010453,3026.782733,0.07443,0.017397,0.028888,0.017724,0.01763,86.113899,30.0494,nominal
1.033333,62,-9.772529,0.000333,0.856694,-4e-06,0.0,5e-06,9.810029,-0.046005,-742.815392,-9200.5222,0.010454,3028.827438,0.073572,0.017619,0.029112,0.017764,0.017568,0.560246,30.0231,nominal
1.05,63,-9.772549,0.001237,0.856655,-4e-06,-0.0,-1e-06,9.810086,-0.045973,-736.096439,-9358.4947,0.01043,3032.622017,0.074377,0.017508,0.029029,0.017802,0.017603,0.0,30.0207,nominal
1.066667,64,-9.772452,0.000765,0.856668,4e-06,-1e-06,-1e-06,9.809899,-0.046018,-738.878247,-9249.0008,0.010395,3024.907725,0.073795,0.017499,0.028847,0.017791,0.017511,0.434094,30.03,nominal
1.083333,65,-9.772434,0.000116,0.856706,-1e-06,-1e-06,1e-06,9.809943,-0.046039,-743.406164,-9294.9291,0.010358,3025.813783,0.074588,0.017495,0.029011,0.017743,0.017507,0.0,30.012,nominal
1.1,66,-9.772488,-0.001652,0.856727,1e-06,2e-06,-5e-06,9.809997,-0.04602,-745.620877,-9293.4183,0.010464,3023.863483,0.074014,0.017694,0.02891,0.017776,0.017547,0.0,30.0515,nominal
1.116667,67,-9.772562,0.000611,0.856725,4e-06,-1e-06,-0.0,9.810028,-0.045969,-736.241764,-9282.8459,0.010374,3025.70454,0.073574,0.017442,0.029033,0.017864,0.01764,0.0,30.0151,nominal
1.133333,68,-9.772541,0.000581,0.856657,-1e-06,-1e-06,0.0,9.810014,-0.046033,-734.913052,-9114.7618,0.010414,3022.134138,0.073842,0.017561,0.029103,0.017757,0.017492,1.002934,30.0132,nominal
1.15,69,-9.772517,0.000499,0.856735,0.0,1e-06,3e-06,9.810018,-0.045992,-744.372689,-9200.4116,0.010356,3029.070521,0.073586,0.018336,0.029253,0.017675,0.01748,0.0,30.024,nominal
1.166667,70,-9.772464,0.000828,0.856661,0.0,3e-06,-2e-06,9.809985,-0.046003,-736.491006,-9206.854,0.010333,3027.527875,0.073587,0.017571,0.028966,0.017771,0.017634,0.660954,30.0532,nominal
1.183333,71,-9.772554,0.00021,0.856734,4e-06,0.0,-1e-06,9.810048,-0.045934,-737.552717,-9259.3764,0.010338,3024.23629,0.073803,0.017442,0.02911,0.017775,0.017522,0.0,30.0173,nominal
1.2,72,-9.772566,0.001249,0.856702,-2e-06,-1e-06,1e-06,9.809988,-0.046071,-749.823809,-9073.8052,0.010476,3026.415242,0.0741,0.017554,0.029077,0.017833,0.017604,0.0,30.0326,nominal
1.216667,73,-9.77254,-0.00031,0.856719,1e-06,-3e-06,1e-06,9.809953,-0.046036,-748.922008,-9266.5833,0.010348,3024.207056,0.073993,0.017469,0.029196,0.017615,0.017576,0.401277,30.0251,nominal
1.233333,74,-9.772498,-6.2e-05,0.856807,-1e-06,-3e-06,4e-06,9.81003,-0.046064,-738.303304,-9236.3394,0.010352,3029.42807,0.073257,0.017498,0.028909,0.01778,0.017545,0.033795,29.9892,nominal
1.25,75,-9.772565,1.8e-05,0.856698,6e-06,2e-06,-4e-06,9.810137,-0.045932,-736.258958,-9285.0468,0.010427,3028.52943,0.073467,0.017599,0.029092,0.017934,0.017625,0.0,30.018,nominal
1.266667,76,-9.77253,-2.6e-05,0.85679,-0.0,1e-06,-1.1e-05,9.810009,-0.046053,-735.293697,-9159.93,0.010466,3025.171422,0.073569,0.017552,0.028966,0.017891,0.017619,0.0,29.9906,nominal
1.283333,77,-9.772532,0.000857,0.856725,-1e-06,-0.0,6e-06,9.80999,-0.045985,-735.772507,-9263.0707,0.010355,3030.528506,0.073188,0.017615,0.029052,0.017738,0.017604,0.955476,30.0233,nominal
1.3,78,-9.77249,-0.000301,0.856719,5e-06,-1e-06,7e-06,9.810021,-0.045895,-728.57724,-9259.8545,0.010393,3027.705678,0.073083,0.017563,0.029007,0.017777,0.017649,0.310207,29.9703,nominal
1.316667,79,-9.772538,-0.000507,0.856775,6e-06,-2e-06,-1e-05,9.809982,-0.046057,-736.070027,-9261.4192,0.01037,3026.17494,0.073964,0.017568,0.029131,0.017827,0.017592,2.166295,30.0021,nominal
1.333333,80,-9.772514,-0.000898,0.856697,-4e-06,-1e-06,-1.5e-05,9.81001,-0.045932,-737.712848,-9188.6773,0.010454,3025.732524,0.074499,0.017561,0.028969,0.017776,0.017654,0.261736,30.012,nominal
1.35,81,-9.772524,0.00043,0.856711,-5e-06,0.0,-1e-06,9.810044,-0.046009,-740.072376,-9277.209,0.010414,3027.322106,0.07297,0.017627,0.029032,0.017738,0.017583,0.0,30.0076,nominal
1.366667,82,-9.772536,-7.6e-05,0.856669,9e-06,0.0,-1e-06,9.810015,-0.046075,-743.728887,-9170.965,0.010327,3025.386927,0.073878,0.017622,0.02912,0.017756,0.017677,0.253458,29.9768,nominal
1.383333,83,-9.77252,0.000748,0.856681,3e-06,-1e-06,-1e-06,9.810017,-0.045996,-739.376178,-9245.598,0.010368,3026.914335,0.073332,0.017434,0.028852,0.017781,0.017596,1.369296,29.9725,nominal
1.4,84,-9.772441,-0.001816,0.856762,-4e-06,-1e-06,-2e-06,9.809998,-0.046004,-744.508739,-9239.1982,0.010362,3026.410069,0.073794,0.017593,0.029046,0.017829,0.017579,0.0,29.9919,nominal
1.416667,85,-9.772456,-0.000183,0.856741,-1e-06,-2e-06,0.0,9.810057,-0.045931,-739.939898,-9141.3228,0.010459,3031.122084,0.073704,0.017555,0.02918,0.017877,0.017602,0.778664,30.0004,nominal
1.433333,86,-9.772523,-0.000339,0.856731,-0.0,1e-06,8e-06,9.80997,-0.046039,-741.172923,-9268.6338,0.010387,3028.157219,0.073641,0.017594,0.029036,0.017852,0.017754,0.06813,29.985,nominal
1.45,87,-9.772541,-0.000476,0.856711,-3e-06,0.0,3e-06,9.809968,-0.046087,-738.171365,-9267.6272,0.010405,3029.026268,0.074015,0.017489,0.028978,0.017886,0.017556,0.0,30.0043,nominal
1.466667,88,-9.772514,-0.000574,0.856664,-5e-06,-2e-06,2e-06,9.810008,-0.045981,-741.687718,-9197.9472,0.01038,3029.584137,0.073973,0.017545,0.029196,0.017643,0.017557,0.0,29.9968,nominal
1.483333,89,-9.772494,-0.000664,0.856708,0.0,1e-06,-3e-06,9.80998,-0.046093,-737.285007,-9139.4866,0.010402,3031.0264,0.073718,0.017471,0.028981,0.017892,0.017536,0.0,30.0189,nominal
1.5,90,-9.772535,0.000174,0.856784,-8e-06,2e-06,3e-06,9.810031,-0.046006,-738.145711,-9202.1373,0.010425,3028.160173,0.07437,0.017536,0.029121,0.01788,0.017727,0.0,29.9471,nominal
1.516667,91,-9.772501,-0.00393,0.856748,7e-06,-1e-06,-2e-06,9.810031,-0.045974,-735.780765,-9275.1636,0.010374,3033.134931,0.073684,0.017522,0.028937,0.017621,0.017687,0.0,29.9831,nominal
1.533333,92,-9.772484,-0.00189,0.85665,-2e-06,-2e-06,2e-06,9.809978,-0.046077,-735.420523,-9377.8401,0.010395,3027.717972,0.073666,0.017534,0.028902,0.017802,0.017589,0.0,30.0085,nominal
1.55,93,-9.772484,-0.000475,0.856743,7e-06,5e-06,4e-06,9.809985,-0.045993,-738.221621,-9326.2654,0.010144,3029.953455,0.073672,0.01763,0.028979,0.017805,0.01763,2.374305,29.988,nominal
1.566667,94,-9.77248,-0.000509,0.856669,-0.0,2e-06,-2e-06,9.810064,-0.04601,-743.832436,-9214.7595,0.010339,3029.351306,0.074031,0.017543,0.028978,0.017894,0.017705,1.495728,29.9516,nominal
1.583333,95,-9.772521,-0.00118,0.856683,-8e-06,1e-06,3e-06,9.809983,-0.04588,-728.321162,-9325.0785,0.010371,3029.621212,0.074004,0.017562,0.028987,0.017767,0.01748,0.155478,29.9824,nominal
1.6,96,-9.772506,0.000441,0.856666,8e-06,-3e-06,-1e-06,9.810012,-0.045951,-742.382857,-9248.4351,0.010425,3029.759702,0.074087,0.017456,0.02899,0.017672,0.017576,0.0,29.9282,nominal
1.616667,97,-9.77251,-5.8e-05,0.856742,0.0,2e-06,8e-06,9.809981,-0.045937,-742.164768,-9218.1915,0.010472,3028.393298,0.073978,0.017475,0.028801,0.017819,0.017574,0.212213,29.964,nominal
1.633333,98,-9.772481,0.000231,0.856766,-2e-06,1e-06,2e-06,9.809975,-0.045976,-740.405903,-9235.5489,0.010346,3029.297073,0.073874,0.017445,0.028857,0.017736,0.017627,0.0,29.9734,nominal
1.65,99,-9.772541,0.000375,0.856716,-6e-06,-0.0,3e-06,9.81005,-0.046018,-740.637925,-9219.7512,0.010427,3028.416811,0.074087,0.017492,0.028976,0.017796,0.017654,0.0,29.95,nominal
1.666667,100,-9.772526,-0.000915,0.856725,-6e-06,-2e-06,8e-06,9.809998,-0.046079,-728.036336,-9200.1446,0.010434,3026.238583,0.073945,0.01755,0.029143,0.017652,0.017609,0.0,29.9753,nominal
1.683333,101,-9.772482,0.00025,0.856757,-4e-06,1e-06,1.1e-05,9.810012,-0.045902,-732.740125,-9227.2039,0.010392,3027.645066,0.073352,0.017494,0.02919,0.017736,0.017667,0.379092,29.9438,nominal
1.7,102,-9.772496,-0.00078,0.856688,-5e-06,2e-06,6e-06,9.810022,-0.045863,-738.022684,-9281.5583,0.01042,3026.996183,0.074034,0.01757,0.02897,0.017922,0.017541,0.0,29.9568,nominal
1.716667,103,-9.772546,0.000596,0.856733,-1e-06,1e-06,1e-06,9.810041,-0.045957,-733.027904,-9310.8148,0.010418,3027.606252,0.073055,0.01754,0.029266,0.017872,0.017577,0.296309,29.9515,nominal
1.733333,104,-9.772536,7.5e-05,0.856741,4e-06,-2e-06,5e-06,9.809974,-0.045878,-739.405633,-9167.5589,0.010399,3026.731438,0.074295,0.017549,0.029178,0.017728,0.017537,0.00641,29.9618,nominal
1.75,105,-9.772535,-0.000524,0.856723,2e-06,1e-06,1e-06,9.809975,-0.04588,-747.085275,-9290.8284,0.01035,3027.948181,0.073634,0.017498,0.028921,0.017702,0.017557,0.0,29.9758,nominal
1.766667,106,-9.772523,-0.001279,0.857075,2e-06,-2e-06,-2e-06,9.81001,-0.04602,-737.877491,-9125.9432,0.010334,3027.559871,0.074415,0.017575,0.029176,0.01783,0.01756,0.0,29.9721,nominal
1.783333,107,-9.772497,-0.000838,0.85669,6e-06,-0.0,-1e-06,9.810008,-0.045893,-736.438009,-9278.809,0.01038,3029.547541,0.074043,0.017565,0.028983,0.017756,0.017647,0.0,29.9602,nominal
1.8,108,-9.772545,-0.000779,0.856671,1e-06,-0.0,0.0,9.810009,-0.045988,-745.328146,-9263.7371,0.010397,3027.455587,0.074242,0.017553,0.028968,0.017665,0.0175,0.833121,30.0109,nominal
1.816667,109,-9.772438,6.1e-05,0.856769,3e-06,-0.0,5e-06,9.809992,-0.045942,-733.757791,-9303.1449,0.010448,3028.094538,0.073887,0.017559,0.02905,0.017806,0.017683,0.090207,29.9449,nominal
1.833333,110,-9.772525,-0.00076,0.856711,-4e-06,-1e-06,1e-06,9.810025,-0.045971,-738.783769,-9246.799,0.010329,3029.92409,0.073716,0.017499,0.029107,0.01771,0.017588,0.600415,29.9718,nominal
1.85,111,-9.772521,-0.000405,0.856714,-1e-06,2e-06,9e-06,9.809986,-0.045951,-735.869035,-9281.559,0.010444,3029.397306,0.074122,0.017509,0.028929,0.017736,0.017582,0.0,29.9635,nominal
1.866667,112,-9.772478,0.000524,0.856721,1e-06,1e-06,-2e-06,9.810009,-0.046026,-742.470421,-9250.5704,0.010378,3028.426797,0.074138,0.017587,0.029099,0.01787,0.017652,0.0,29.9313,nominal
1.883333,113,-9.772569,0.000419,0.856737,-0.0,0.0,5e-06,9.809993,-0.045924,-738.540984,-9280.7667,0.010368,3026.67802,0.07352,0.017539,0.028929,0.017832,0.017555,0.398161,29.9599,nominal
1.9,114,-9.772502,-0.00022,0.85672,6e-06,1e-06,-5e-06,9.809962,-0.045986,-735.538941,-9233.3392,0.010419,3027.495577,0.074052,0.017638,0.029038,0.017803,0.017579,0.0,29.9487,nominal
1.916667,115,-9.772496,0.000667,0.856719,-2e-06,-1e-06,-2e-06,9.810019,-0.046027,-734.010241,-9300.6706,0.010419,3029.64617,0.073881,0.017438,0.029181,0.017797,0.017583,0.0,29.9907,nominal
1.933333,116,-9.772544,-0.00132,0.856746,5e-06,1e-06,5e-06,9.809951,-0.046029,-732.917111,-9250.885,0.010375,3028.606556,0.073659,0.01756,0.028799,0.017801,0.017604,0.756442,29.9366,nominal
1.95,117,-9.77249,-0.001485,0.856667,2e-06,1e-06,-2e-06,9.810015,-0.046014,-733.565665,-9220.9186,0.010373,3028.632914,0.073875,0.017559,0.028895,0.017736,0.017514,0.0,29.9299,nominal
1.966667,118,-9.772459,1.1e-05,0.856743,-2e-06,1e-06,1e-06,9.809948,-0.045905,-738.095277,-9228.9059,0.010426,3028.883016,0.07354,0.017538,0.029065,0.017924,0.017514,0.341979,29.9503,nominal
1.983333,119,-9.772532,0.000453,0.856682,-4e-06,1e-06,6e-06,9.810023,-0.045954,-743.944483,-9208.711,0.010388,3028.198754,0.073699,0.017527,0.029107,0.017853,0.017548,0.551208,29.9254,nominal
2.0,120,-9.772553,-0.000404,0.856689,-1e-06,-0.0,-2e-06,9.810017,-0.045926,-737.131989,-9204.2392,0.010399,3026.286257,0.07426,0.017521,0.028862,0.01777,0.017632,1.041119,29.9295,nominal
2.016667,121,-9.772551,-0.000324,0.856705,-7e-06,-1e-06,-4e-06,9.810019,-0.045988,-742.431788,-9347.0551,0.010425,3027.061464,0.073443,0.017612,0.028995,0.017775,0.017582,0.0,29.9141,nominal
2.033333,122,-9.772503,0.000453,0.856695,0.0,-3e-06,2e-06,9.810002,-0.046016,-740.890013,-9288.5451,0.010341,3029.326546,0.074022,0.017543,0.02893,0.01776,0.017605,0.0,29.9389,nominal
2.05,123,-9.772488,0.000311,0.85669,-6e-06,1e-06,-9e-06,9.809989,-0.045951,-733.194227,-9225.4633,0.010474,3030.348435,0.073689,0.017535,0.029032,0.017803,0.017507,0.501221,29.9332,nominal
2.066667,124,-9.772517,8.1e-05,0.856695,0.0,1e-06,2e-06,9.809972,-0.045964,-733.279495,-9155.5104,0.010431,3027.770588,0.0738,0.017576,0.029023,0.01779,0.017531,0.13494,29.9298,nominal
2.083333,125,-9.772541,0.000175,0.856709,-4e-06,-2e-06,7e-06,9.810001,-0.045962,-740.57369,-9181.1206,0.010398,3028.065826,0.073963,0.017502,0.029077,0.017845,0.017592,0.0,29.9602,nominal
2.1,126,-9.772548,-0.000281,0.85672,2e-06,-2e-06,-2e-06,9.809988,-0.045919,-742.528448,-9303.6722,0.010403,3028.168591,0.07376,0.017554,0.029193,0.017881,0.017634,1.551921,29.9187,nominal
2.116667,127,-9.772496,0.000291,0.856744,-0.0,0.0,-1e-06,9.80997,-0.045941,-737.161849,-9180.0604,0.010435,3028.440994,0.073641,0.017475,0.029,0.017789,0.017545,0.988555,29.9275,nominal
2.133333,128,-9.772539,-0.000714,0.85674,1e-06,3e-06,3e-06,9.810008,-0.046024,-734.538563,-9264.9764,0.010383,3029.669677,0.07404,0.017634,0.029038,0.017777,0.017608,0.0,29.9109,nominal
2.15,129,-9.77254,0.000681,0.856725,1.1e-05,0.0,-2e-06,9.809984,-0.04597,-737.544652,-9286.198,0.010383,3026.108065,0.07398,0.017602,0.028929,0.017768,0.017512,0.0,29.9312,nominal
